time,exp1_s1,exp1_s1_Distorted
4.02010050251256,7,7
4.02010050251256,3,3
4.02010050251256,1,1
4.02010050251256,1,1
4.02010050251256,4,4
4.02010050251256,5,5
4.02010050251256,4,4
4.02010050251256,2,2
4.02010050251256,6,5
4.22110552763819,3,3
4.22110552763819,7,6
4.22110552763819,1,1
4.22110552763819,2,2
4.22110552763819,5,5
4.22110552763819,6,6
4.22110552763819,5,5
4.22110552763819,2,2
4.22110552763819,2,2
4.22110552763819,5,5
4.42211055276382,5,4
4.42211055276382,2,2
4.42211055276382,2,2
4.42211055276382,3,2
4.42211055276382,5,5
4.42211055276382,5,4
4.42211055276382,4,4
4.42211055276382,4,4
4.42211055276382,2,2
4.42211055276382,4,4
4.62311557788945,5,5
4.62311557788945,3,3
4.62311557788945,3,3
4.62311557788945,3,3
4.62311557788945,2,2
4.62311557788945,4,4
4.62311557788945,6,6
4.62311557788945,6,5
4.62311557788945,5,5
4.62311557788945,2,2
4.82412060301507,5,4
4.82412060301507,2,1
4.82412060301507,2,2
4.82412060301507,2,2
4.82412060301507,2,2
4.82412060301507,4,3
4.82412060301507,1,1
4.82412060301507,6,6
4.82412060301507,5,5
4.82412060301507,7,7
5.0251256281407,4,4
5.0251256281407,5,4
5.0251256281407,6,6
5.0251256281407,4,3
5.0251256281407,3,3
5.0251256281407,8,8
5.0251256281407,1,1
5.0251256281407,3,2
5.0251256281407,8,8
5.0251256281407,3,3
5.22613065326633,3,3
5.22613065326633,2,2
5.22613065326633,7,7
5.22613065326633,2,2
5.22613065326633,3,3
5.22613065326633,7,7
5.22613065326633,4,4
5.22613065326633,5,5
5.22613065326633,4,4
5.22613065326633,5,5
5.42713567839196,1,1
5.42713567839196,4,4
5.42713567839196,1,1
5.42713567839196,6,6
5.42713567839196,3,3
5.42713567839196,6,6
5.42713567839196,3,3
5.42713567839196,4,4
5.42713567839196,8,8
5.42713567839196,1,1
5.62814070351759,1,1
5.62814070351759,1,1
5.62814070351759,5,5
5.62814070351759,5,5
5.62814070351759,2,2
5.62814070351759,6,5
5.62814070351759,5,5
5.62814070351759,1,1
5.62814070351759,1,1
5.62814070351759,2,2
5.82914572864322,6,6
5.82914572864322,2,2
5.82914572864322,3,3
5.82914572864322,3,3
5.82914572864322,2,2
5.82914572864322,7,7
5.82914572864322,5,5
5.82914572864322,6,6
5.82914572864322,5,4
5.82914572864322,4,4
6.03015075376884,3,3
6.03015075376884,5,4
6.03015075376884,2,2
6.03015075376884,2,2
6.03015075376884,1,1
6.03015075376884,9,8
6.03015075376884,9,7
6.03015075376884,2,2
6.03015075376884,4,4
6.03015075376884,5,4
6.23115577889447,3,3
6.23115577889447,6,5
6.23115577889447,5,5
6.23115577889447,4,4
6.23115577889447,3,3
6.23115577889447,6,5
6.23115577889447,7,6
6.23115577889447,6,6
6.23115577889447,4,3
6.23115577889447,8,7
6.4321608040201,3,2
6.4321608040201,5,5
6.4321608040201,9,9
6.4321608040201,3,3
6.4321608040201,3,3
6.4321608040201,8,8
6.4321608040201,2,2
6.4321608040201,3,3
6.4321608040201,5,5
6.4321608040201,3,3
6.63316582914573,5,4
6.63316582914573,7,7
6.63316582914573,5,5
6.63316582914573,6,6
6.63316582914573,7,7
6.63316582914573,3,3
6.63316582914573,5,5
6.63316582914573,2,2
6.63316582914573,5,5
6.63316582914573,7,7
6.83417085427136,8,8
6.83417085427136,5,5
6.83417085427136,4,4
6.83417085427136,6,5
6.83417085427136,8,8
6.83417085427136,5,4
6.83417085427136,10,10
6.83417085427136,3,3
6.83417085427136,2,2
6.83417085427136,4,3
7.03517587939699,4,4
7.03517587939699,4,4
7.03517587939699,4,3
7.03517587939699,6,6
7.03517587939699,2,1
7.03517587939699,4,3
7.03517587939699,4,4
7.03517587939699,4,4
7.03517587939699,2,2
7.03517587939699,5,5
7.23618090452261,4,3
7.23618090452261,3,3
7.23618090452261,0,0
7.23618090452261,4,4
7.23618090452261,5,5
7.23618090452261,8,7
7.23618090452261,2,2
7.23618090452261,8,7
7.23618090452261,3,2
7.23618090452261,7,7
7.43718592964824,7,7
7.43718592964824,9,8
7.43718592964824,3,3
7.43718592964824,5,4
7.43718592964824,5,5
7.43718592964824,3,2
7.43718592964824,6,6
7.43718592964824,6,4
7.43718592964824,3,3
7.43718592964824,5,5
7.63819095477387,11,11
7.63819095477387,5,5
7.63819095477387,6,6
7.63819095477387,5,5
7.63819095477387,2,2
7.63819095477387,4,4
7.63819095477387,7,7
7.63819095477387,4,3
7.63819095477387,2,1
7.63819095477387,5,5
7.8391959798995,4,3
7.8391959798995,7,7
7.8391959798995,5,5
7.8391959798995,7,7
7.8391959798995,7,7
7.8391959798995,3,3
7.8391959798995,3,3
7.8391959798995,8,7
7.8391959798995,6,6
7.8391959798995,1,1
8.04020100502512,9,9
8.04020100502512,5,5
8.04020100502512,6,6
8.04020100502512,6,6
8.04020100502512,7,6
8.04020100502512,8,8
8.04020100502512,5,5
8.04020100502512,2,2
8.04020100502512,7,7
8.04020100502512,4,4
8.24120603015075,8,8
8.24120603015075,5,5
8.24120603015075,8,7
8.24120603015075,3,3
8.24120603015075,3,3
8.24120603015075,8,7
8.24120603015075,2,2
8.24120603015075,7,7
8.24120603015075,7,7
8.24120603015075,5,5
8.44221105527638,5,4
